kanji,meaning,readings,compounds,sentence,kana,translation,radicals,confusables
行,"going, journey","コウ, ギョウ, アン; い.く, ゆ.く, -ゆ.き, -ゆき, -い.き, -いき, おこな.う, おこ.なう","運行 (うんこう·0) = motion, revolution; 奥行 (おくゆき·0) = depth, length; 刊行 (かんこう·0) = publication, issue; 急行 (きゅうこう·0) = express (eg train that bypasses many stations); 強行 (きょうこう·0) = forcing, enforcement, forced, enforced",行く？,,You're leaving?,彳,"律,街,従"
西,"west, Spain","セイ, サイ, ス; にし","西 (にし·0) = west; 西欧 (せいおう·0) = Western Europe; 西部 (せいぶ·1) = the west, western part, the West; 西洋 (せいよう·1) = the west, Western countries; 西洋人 (せいようじん·3) = Western people",日は西に沈む。,,The sun sets in the west.,,
見,"see, hopes, chances, idea, opinion, look at, visible","ケン; み.る, み.える, み.せる","意見 (いけん·1) = opinion, view; 一見 (いっけん·0) = look, glimpse, glance, to glance, to glimpse, first meeting, apparently, seemingly; 下見 (したみ·0,2) = preview, preliminary inspection, siding (on a house); 花見 (はなみ·3) = cherry blossom viewing, flower viewing; 会見 (かいけん·0) = interview, audience",お見事！,,お見事,目 儿,"睦,眺,自"
言,say,"ゲン, ゴン; い.う, こと","遺言 (いげん·0) = will, testament, last request; 言回し (いいまわし·0) = expression, phraseology; 言出す (いいだす·3) = to start talking, to speak, to tell; 言返す (いいかえす·3) = to repeat, to talk back, to answer back; 言方 (いいかた·0) = speaking style",不言実行。,,Actions speak louder than words.,,
話,"tale, talk","ワ; はな.す, はなし","会話 (かいわ·0) = conversation; 実話 (じつわ·0) = true story; 受話器 (じゅわき·2) = (telephone) receiver; 神話 (しんわ·0) = myth, legend; 世話 (せわ·2) = looking after, help, aid, assistance",何の話？,,What are you talking about?,言 口 舌,"舌,石,品"
語,"word, speech, language","ゴ; かた.る, かた.らう","英語 (えいご·0) = English (language); 外国語 (がいこくご·0) = foreign language; 外来語 (がいらいご·0) = borrowed word, foreign origin word; 漢語 (かんご·0) = Chinese word, Sino-Japanese word; 季語 (きご·1) = seasonal word (in haiku)",英語で話せ！,,Speak English.,言 口 五,"舌,石,品"
読,read,"ドク, トク, トウ; よ.む, -よ.み","愛読 (あいどく·0) = reading with pleasure; 句読点 (くとうてん·2) = punctuation mark(s); 読み (よみ·2) = reading; 読み書き (よみかき·2,1) = reading and writing; 読み方 (よみかた·3,0) = way of reading, how to read",読め！,,Read!,言 士 儿 冖,"売,続,誌"
買,buy,バイ; か.う,"購買 (こうばい·0) = purchase, buy; 仲買 (なかがい·0,2) = brokerage; 買う (かう·0) = to buy, to value, to have a high opinion, to stir, to provoke; 買収 (ばいしゅう·0) = buying, purchase, corruption, bribery; 売買 (ばいばい·1) = trade, buying and selling",買って。,,Buy it.,貝 目 ハ,"質,貧,貢"
足,"leg, foot, be sufficient, counter for pairs of footwear","ソク; あし, た.りる, た.る, た.す","遠足 (えんそく·0) = excursion, outing, trip; 駈け足 (かけあし·2) = running fast, double time, galloping, doing things in a hurry; 手足 (てあし·1) = one's hands and feet, limbs; 足し算 (たしざん·2) = addition; 足す (たす·0) = to add (numbers), to add (something), to top up (with something)",満足です。,,That hit the spot.,口 止,"路,舌,石"
車,car,シャ; くるま,"下車 (げしゃ·1) = alighting (from train, bus, etc.), getting off; 貨車 (かしゃ·1) = freight car, van; 外車 (がいしゃ·0) = foreign automobile; 機関車 (きかんしゃ·2) = locomotive, engine; 汽車 (きしゃ·2) = train (steam)",車で行こう。,,車 で(#2028980) 行く,,
週,week,シュウ,"今週 (こんしゅう·0) = this week; 週 (しゅう·1) = week; 週刊 (しゅうかん·0) = published weekly; 週間 (しゅうかん·0) = week, weekly; 週末 (しゅうまつ·0) = weekend",また来週。,,See you next week!,口 込 土 冂,"過,周,尚"
道,"road-way, street, district, journey, course, moral, teachings","ドウ, トウ; みち","横断歩道 (おうだんほどう·5) = pedestrian crossing; 横道 (よこみち·0) = byway, side street, cross street, wrong way, digression; 回り道 (まわりみち·3,0) = detour, diversion; 街道 (かいどう·0) = highway (esp. one existing from the Edo period), main road; 寄り道 (よりみち·0) = dropping in on the way",旅は道連れ。,,Good company on the road is the shortest cut.,込 自 并 首,"導,首,遂"
金,gold,"キン, コン, ゴン; かね, かな-, -がね","御金 (おかね·0) = money; 金 (くがね·0) = gold; 金額 (きんがく·0) = amount of money; 金魚 (きんぎょ·1) = goldfish; 金庫 (かねぐら·0) = safe, vault, treasury, provider of funds",華金だ！,,Thank God it's Friday!,王 ハ 个 并,"全,羊,介"
長,"long, leader","チョウ; なが.い, おさ","駅長 (えきちょう·0) = station master; 延長 (えんちょう·0) = extension, elongation, prolongation, lengthening; 課長 (かちょう·0) = section manager, section chief; 会長 (かいちょう·0) = president (of a society), chairman; 学長 (がくちょう·0) = university president",長子です。,,I'm the first-born.,,
間,"interval, space","カン, ケン; あいだ, ま, あい","間 (あいだ·0) = space, interval; 間に合う (まにあう·3) = to be in time for; 間も無く (まもなく·2) = soon, before long; 間違い (まちがい·3) = mistake; 間違える (まちがえる·4,3) = to make a mistake, to mistake something for something else",俺は人間だ。,,俺(おれ) は 人間(にんげん) だ,日 門,"簡,晶,昌"
雨,rain,"ウ; あめ, あま-, -さめ",雨 (あめ·1) = rain; 雨具 (あまぐ·2) = rain gear; 雨戸 (あまど·2) = sliding storm door; 雨天 (うてん·1) = rainy weather; 雨漏り (あまもり·2) = roof leak,すごい雨！,,It's raining a lot!,,
電,electricity,デン,"電 (いなづま·0) = (flash of) lightning; 乾電池 (かんでんち·3) = dry cell, battery; 終電 (しゅうでん·0) = last train; 祝電 (しゅくでん·0) = congratulatory telegram; 停電 (ていでん·0) = power outage, electricity outage, blackout",停電だ。,,The power is out.,雨 田 乙,"雷,礼,竜"
食,"eat, food","ショク, ジキ; く.う, く.らう, た.べる, は.む","食べる (たべる·2) = to eat; 会食 (かいしょく·0) = dining together, mess; 外食 (がいしょく·0) = eating out; 間食 (かんしょく·0) = eating between meals, snacking; 給食 (きゅうしょく·0) = school lunch, providing a meal",昼食！,,Lunch break!,,
飲,"drink, smoke, take","イン, オン; の.む, -の.み","飲む (のむ·1) = to drink; 飲水 (のみみず·2) = drinking water; 飲物 (のみもの·3,2) = drink, beverage",お薬飲んだ？,,御(お) 薬(くすり) 飲む,欠 食,"飢,軟,炊"
駅,station,エキ,"駅 (えき·1) = station; 駅員 (えきいん·2,0) = station attendant; 駅前 (えきまえ·3,0) = in front of station; 駅長 (えきちょう·0) = station master; 駅弁 (えきべん·0) = boxed lunch bought at a station (often a local specialty)",東京駅なう。,,東京 駅 ナウ,馬 尸 杰 丶,"尽,尺,駐"
高,"tall, high, expensive","コウ; たか.い, たか, -だか, たか.まる, たか.める","円高 (えんだか·0) = high-valued yen, exchange in favor (favour) of the yen; 高い (たかい·2) = high, tall, expensive; 高さ (たかさ·1) = height; 高まる (たかまる·3) = to rise, to swell, to be promoted; 高める (たかめる·3) = to raise, to lift, to boost, to enhance",波が高い。,,波 が 高い,口 亠 冂,"尚,向,稿"
魚,fish,"ギョ; うお, さかな, -ざかな",金魚 (きんぎょ·1) = goldfish; 魚 (うお·0) = fish,魚がいるよ。,,There's a fish.,田 杰,"鳥,鯉,馬"
